date_finviz,time,headline,source,link
Jan-13-20,07:00AM,"Market Morning: Iran Protests, Boeing Embarrasses Self, Australia Evacuates, GrubHub Rollup",(Market Exclusive),https://finance.yahoo.com/news/market-morning-iran-protests-boeing-120007201.html
Nov-27-19,08:05AM,Australia ETF Could Face A Surprising Headwind,(Benzinga),https://finance.yahoo.com/news/australia-etf-could-face-surprising-130512175.html
Nov-26-19,05:00AM,Australia- A Safe Way to Invest in Pacific Growth,(MoneyShow),https://finance.yahoo.com/news/australia-safe-way-invest-pacific-100000705.html
Nov-06-19,06:26PM,Global Investment Presents Opportunity,(Investopedia),https://www.investopedia.com/global-investment-presents-opportunity-4775505?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
Aug-29-19,01:09PM,Betting on Stocks Down Under,(Kiplinger),https://finance.yahoo.com/news/betting-stocks-down-under-170921751.html
Aug-01-19,12:23PM,An Awesome Ascent For Australia ETF,(ETF Trends),https://finance.yahoo.com/news/awesome-ascent-australia-etf-162352498.html
Jul-02-19,04:13PM,Australia ETFs Could Find Support from Central Bank,(ETF Trends),https://finance.yahoo.com/news/australia-etfs-could-support-central-201353309.html
Jul-01-19,12:07PM,"Australia ETF is Hot, But Run Faces Challenges",(ETF Trends),https://finance.yahoo.com/news/australia-etf-hot-run-faces-160706341.html
Jun-25-19,09:13AM,"Invest In International Markets With These 3 ETFs (EFA, EWA)",(Investopedia),https://www.investopedia.com/stock-analysis/cotd/083016/invest-international-markets-these-3-etfs-efa-ewa-efa-ewa.aspx?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
Apr-22-19,03:28PM,ETF Roster for TD Ameritrades 24-Hour Trading Program Growing,(ETF Trends),https://finance.yahoo.com/news/etf-roster-td-ameritrade-24-192808221.html
Jan-18-19,08:00AM,"U.S., China to Reach a Trade Deal? ETF Areas to Gain",(Zacks),https://finance.yahoo.com/news/u-china-reach-trade-deal-130001026.html
Dec-03-18,01:00PM,Trump-Jingping Truce to Boost These ETFs,(Zacks),https://finance.yahoo.com/news/trump-jingping-truce-boost-etfs-180006958.html
Jun-11-18,05:44PM,Australia's Strong Q1 Growth: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/australia-apos-strong-q1-growth-214409961.html
May-04-18,10:40AM,Australia ETF Could Steady in the Months Ahead,(ETF Trends),https://finance.yahoo.com/news/australia-etf-could-steady-months-144054825.html
Mar-14-18,08:44AM,Political Chaos No Match For A Pro-Growth Economy,(Forbes),http://www.forbes.com/sites/kenrapoza/2018/03/14/political-chaos-no-match-for-pro-growth-economy/?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix
Mar-12-18,04:30PM,Will Slow GDP Growth Take a Beating on Australia ETFs?,(Zacks),https://finance.yahoo.com/news/slow-gdp-growth-beating-australia-203008000.html
Jan-03-18,07:33AM,Will 2018 Be a Smooth Road for Investors?,(Market Realist),http://marketrealist.com/2018/01/will-2018-smooth-bumpy-road-investors/?utm_source=yahoo&utm_medium=feed
Dec-06-17,06:24PM,Australia ETFs in Focus as GDP Growth Misses Expectations,(Zacks),https://finance.yahoo.com/news/australia-etfs-focus-gdp-growth-232411497.html
Nov-07-17,04:54PM,Australia ETFs in Focus on Record Highs,(Zacks),https://finance.yahoo.com/news/australia-etfs-focus-record-highs-215409043.html
Oct-26-17,04:33PM,Australia ETFs in Focus as Rate Hike Hopes Fade,(Zacks),https://finance.yahoo.com/news/australia-etfs-focus-rate-hike-203308790.html
Oct-11-17,04:52PM,What Lies Ahead for Australia ETFs?,(Zacks),https://finance.yahoo.com/news/lies-ahead-australia-etfs-205208953.html
Sep-18-17,03:38PM,That's One Way To Do It: Australians Urged To Eat Kangaroos To Combat Overpopulation,(Benzinga),https://finance.yahoo.com/news/thats-one-way-australians-urged-193808580.html
Sep-08-17,04:05PM,Australia's GDP Growth Misses Expectations: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/australia-apos-gdp-growth-misses-200508954.html
Sep-06-17,11:30AM,ETFs to Lose If Trump Bans Trade With North Korean Partners,(Zacks),https://finance.yahoo.com/news/etfs-lose-trump-bans-trade-153003114.html
Sep-05-17,01:55PM,Sanctions against North Korea would have to be truly massive to work,(Yahoo Finance),https://finance.yahoo.com/news/sanctions-north-korea-truly-massive-work-175543648.html
Aug-30-17,12:47AM,Telstra: Bad News Comes In Threes; Stock Down 6% to 5-Year Low,(Barrons.com),http://www.barrons.com/articles/telstra-bad-news-comes-in-threes-stock-down-6-to-5-year-low-1504068500?mod=yahoobarrons&ru=yahoo
Aug-16-17,12:08AM,Origin Energy Up 4% As Strong Guidance Trumps Massive Write-Downs,(Barrons.com),http://www.barrons.com/articles/origin-energy-up-4-as-strong-guidance-trumps-massive-write-downs-1502856495?mod=yahoobarrons&ru=yahoo
Aug-13-17,11:32PM,"Aurizon: First Loss Since Its IPO, Unveils Buyback, Asset Sales",(Barrons.com),http://www.barrons.com/articles/aurizon-first-loss-since-its-ipo-unveils-buyback-asset-sales-1502681596?mod=yahoobarrons&ru=yahoo
Aug-13-17,10:21PM,Commonwealth Bank CEO to Retire from Scandal Plagued Lender,(Barrons.com),http://www.barrons.com/articles/commonwealth-bank-ceo-to-retire-from-scandal-plagued-lender-1502677335?mod=yahoobarrons&ru=yahoo
Aug-10-17,03:22PM,Australia's Consumer Confidence Lower: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/australia-apos-consumer-confidence-lower-192207329.html
Aug-08-17,10:56PM,Commonwealth Bank Unveils Solid Full Year Earnings,(Barrons.com),http://www.barrons.com/articles/commonwealth-bank-unveils-solid-full-year-earnings-1502247388?mod=yahoobarrons&ru=yahoo
Aug-04-17,02:54AM,Commonwealth Bank Tumbles 4% on Anti-Money Laundering Allegations,(Barrons.com),http://www.barrons.com/articles/commonwealth-bank-tumbles-4-on-anti-money-laundering-allegations-1501829677?mod=yahoobarrons&ru=yahoo
Aug-03-17,11:10PM,Suncorp: Goldman Sachs Dumps Stock From Buy List,(Barrons.com),http://www.barrons.com/articles/suncorp-goldman-sachs-dumps-stock-from-buy-list-1501816237?mod=yahoobarrons&ru=yahoo
Jul-28-17,02:35PM,Australia's Inflation Misses Target: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/australia-apos-inflation-misses-target-183506020.html
Jul-28-17,08:20AM,Assess Asia-Pacific With This ETF,(Benzinga),https://finance.yahoo.com/news/assess-asia-pacific-etf-122036827.html
Jul-21-17,02:18PM,Australian Employment Advances: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/australian-employment-advances-etfs-focus-181806039.html
Jul-11-17,02:34PM,"China's Inflation, Debt & Impact on Australia: ETFs in Focus",(Zacks),https://finance.yahoo.com/news/china-apos-inflation-debt-impact-183406393.html
Jun-21-17,03:13PM,Moody's Downgrades Australian Banks: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/moody-apos-downgrades-australian-banks-191307227.html
Jun-16-17,03:56PM,Australia Unemployment at 4 Year Low: ETFs in Focus,(Zacks),https://finance.yahoo.com/news/australia-unemployment-4-low-etfs-195607378.html
Jun-01-17,05:35PM,How Has IBMs Cognitive Solutions Segments Performance Been?,(Market Realist),http://marketrealist.com/2017/06/how-has-ibms-cognitive-solutions-segments-performance-been/?utm_source=yahoo&utm_medium=feed
Jun-01-17,04:06PM,IBM Continues to Focus on Increasing Data Center Capacity,(Market Realist),http://marketrealist.com/2017/06/ibm-continues-to-focus-on-increasing-data-center-capacity/?utm_source=yahoo&utm_medium=feed
May-31-17,10:14AM,A Looming Problem For Australia ETFs,(Benzinga),https://finance.yahoo.com/news/looming-problem-australia-etfs-141429869.html
May-22-17,09:11AM,Looking Down Under For ETF Ideas,(Benzinga),https://finance.yahoo.com/news/looking-down-under-etf-ideas-131117825.html
May-09-17,02:56PM,Australia Business Conditions & Confidence High: ETFs to Buy,(Zacks),http://finance.yahoo.com/news/australia-business-conditions-confidence-high-185606905.html
Apr-04-17,02:25PM,Australia Keeps Rates Unchanged: ETFs in Focus,(Zacks),http://finance.yahoo.com/news/australia-keeps-rates-unchanged-etfs-182506979.html
Mar-23-17,01:00PM,"Canada, Australia and Brazil Buying Opportunites",(Investopedia),http://www.investopedia.com/news/canada-australia-and-brazil-buying-opportunities-ewc-ewz/?partner=YahooSA
Mar-06-17,11:51PM,Is Reserve Bank Of Australia Too Optimistic On Growth?,(Barrons.com),http://blogs.barrons.com/asiastocks/2017/03/06/is-reserve-bank-of-australia-too-optimistic-on-growth/?mod=yahoobarrons&ru=yahoo
Mar-01-17,05:46PM,Time to Invest in Australia ETFs as Earnings & Dividends Rebound?,(Zacks),http://finance.yahoo.com/news/time-invest-australia-etfs-earnings-224610636.html
Feb-28-17,08:18PM,Aussie Dollar Firms: Australia In A Mini Mining Boom?,(Barrons.com),http://blogs.barrons.com/asiastocks/2017/02/28/aussie-firms-as-australia-economy-china-manufacturing-surprise-on-upside/?mod=yahoobarrons&ru=yahoo
Feb-13-17,09:55PM,Reflation Trade Has Room To Run? 3 Things To Watch,(Barrons.com),http://blogs.barrons.com/asiastocks/2017/02/13/reflation-trade-has-room-to-run-3-things-to-watch/?mod=yahoobarrons&ru=yahoo
Feb-07-17,01:05AM,RBA To Remain On Hold In 2017?,(Barrons.com),http://blogs.barrons.com/asiastocks/2017/02/07/rba-to-remain-on-hold-in-2017/?mod=yahoobarrons&ru=yahoo
Jan-24-17,09:30AM,"The Zacks Analyst Blog Highlights: PowerShares Global Listed Private Equity, First Trust RBA American Industrial Renaissance, iShares MSCI Mexico Capped and iShares MSCI Australia",(Zacks),http://finance.yahoo.com/news/zacks-analyst-blog-highlights-powershares-143002367.html
Jan-17-17,12:28PM,A Challenge For Australia ETFs,(Benzinga),http://finance.yahoo.com/news/challenge-australia-etfs-172832050.html
Jan-11-17,01:29PM,"3 Country ETFs to Watch in 2017 (EWJ, EWA)",(Investopedia),http://www.investopedia.com/stock-analysis/cotd/011117/3-country-etfs-watch-2017-ewj-ewa-ewj-ewa.aspx?partner=YahooSA
Jan-02-17,07:35AM,Will Oracles and Peers Tryst with Bond Sales Continue in 2017?,(Market Realist),http://marketrealist.com/2016/12/will-oracle-peers-tryst-bond-sales-continue-2017/?utm_source=yahoo&utm_medium=feed
Dec-18-16,09:22PM,Australia's Budget Deficit Is Even Worse Than It Looks,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/12/18/australias-fiscal-deficit-is-even-worse-than-they-look/?mod=yahoobarrons&ru=yahoo
Dec-16-16,10:10AM,U.S. Dollar and Australia: 2 ETFs to Watch on Outsized Volume,,http://finance.yahoo.com/news/u-dollar-australia-2-etfs-151003134.html
Dec-07-16,04:08PM,Will Downbeat Australian GDP Data Pull These ETFs Down?,,http://finance.yahoo.com/news/downbeat-australian-gdp-data-pull-210809708.html
Dec-06-16,08:22PM,Is Australia Heading To A Recession?,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/12/06/is-australia-heading-to-a-recession/?mod=yahoobarrons&ru=yahoo
Dec-06-16,07:49PM,Aussie Tumbles After Australia's Q3 GDP Disappoints,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/12/06/aussie-tumbles-after-australias-q3-gdp-disappoints/?mod=yahoobarrons&ru=yahoo
Dec-05-16,08:05AM,Why FireEye Partnered with Microsoft,,http://marketrealist.com/2016/11/fireeye-partnered-microsoft/?utm_source=yahoo&utm_medium=feed
Nov-29-16,09:35PM,Australia: It's Too Early To Talk Of RBA Rate Hikes,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/11/29/australia-its-too-early-to-talk-of-rba-rate-hikes/?mod=yahoobarrons&ru=yahoo
Nov-24-16,09:47PM,Did Australia's Economy Grow At All In Q3?,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/11/24/did-australias-economy-grow-at-all-in-q3/?mod=yahoobarrons&ru=yahoo
Nov-22-16,08:04AM,How Trumps Regime Will Affect Technology Sector Financials,,http://marketrealist.com/2016/11/trumps-regime-will-impact-financials-microsoft-peers/?utm_source=yahoo&utm_medium=feed
Nov-21-16,02:21PM,Australian ETFs in Focus after Jobs Data Fails to Impress,,http://finance.yahoo.com/news/australian-etfs-focus-jobs-data-192107009.html
Nov-02-16,09:28PM,Can Coal Prices Push Aussie Higher?,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/11/02/can-coal-prices-push-aussie-higher/?mod=yahoobarrons&ru=yahoo
Oct-27-16,10:04AM,Did Microsofts Strong Revenue Growth Results Improve Its Margins?,,http://marketrealist.com/2016/10/microsofts-strong-revenue-growth-result-improved-margins/?utm_source=yahoo&utm_medium=feed
Oct-19-16,09:46PM,Will Fall In Employment Prompt RBA To Cut Rates?,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/10/19/will-fall-in-employment-prompt-rba-to-cut-rates/?mod=yahoobarrons&ru=yahoo
Oct-19-16,08:04AM,Tech Sectors Buybacks Fell despite Microsofts $40 Billion Plan,,http://marketrealist.com/2016/10/tech-sectors-buybacks-fell-despite-microsofts-40-billion-plan/?utm_source=yahoo&utm_medium=feed
Oct-17-16,09:30PM,"Aussie, Kiwi Rise On New Zealand's Q3 Inflation Surprise",(Barrons.com),http://blogs.barrons.com/asiastocks/2016/10/17/aussie-kiwi-rise-on-new-zealands-q3-inflation-surprise/?mod=yahoobarrons&ru=yahoo
Oct-16-16,08:00PM,Australia's Bull Market Is Just Getting Started: Credit Suisse,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/10/16/australias-bull-market-is-just-getting-started-credit-suisse/?mod=yahoobarrons&ru=yahoo
Oct-10-16,10:31AM,Aussie Dollar ETF a Solid Performer,,http://finance.yahoo.com/news/aussie-dollar-etf-solid-performer-143121240.html
Sep-28-16,09:17PM,OPEC Oil Deal Boosts Asia Sentiment: Australia Energy Stocks Soar 5%,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/09/28/opec-oil-deal-boosts-asia-sentiments-australia-energy-stocks-soar-5/?mod=yahoobarrons&ru=yahoo
Sep-27-16,08:04AM,Adobe Continues to Lure Investors with Share Buybacks,,http://marketrealist.com/2016/09/adobe-continues-lure-investors-share-buybacks-2/?utm_source=yahoo&utm_medium=feed
Sep-22-16,11:18PM,"Morgan Stanley: Fed, BoJ Clear Way For Dollar To Weaken Another 5%",(Barrons.com),http://blogs.barrons.com/asiastocks/2016/09/22/morgan-stanley-fed-boj-clear-way-for-dollar-to-weaken-another-5/?mod=yahoobarrons&ru=yahoo
Sep-16-16,10:13AM,Australias Attractive Valuations in ETFs,,http://finance.yahoo.com/news/australia-attractive-valuations-etfs-141336874.html
Sep-13-16,08:05AM,Why Is Oracle on a Cloud Acquisition Spree?,,http://marketrealist.com/2016/09/oracle-cloud-acquisition-spree/?utm_source=yahoo&utm_medium=feed
Sep-08-16,10:42AM,Down Under Opportunities With Australia ETFs,,http://finance.yahoo.com/news/down-under-opportunities-australia-etfs-144235185.html
Sep-07-16,12:24AM,"Time To Sell Australian Stocks, Says JP Morgan",(Barrons.com),http://blogs.barrons.com/asiastocks/2016/09/07/time-to-sell-australian-stocks-says-jp-morgan/?mod=yahoobarrons&ru=yahoo
Sep-05-16,09:15PM,Aussie Rises As RBA Seen On Hold In September Meeting,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/09/05/aussie-rises-as-rba-seen-on-hold-in-september-meeting/?mod=yahoobarrons&ru=yahoo
Aug-21-16,10:31PM,Asian Currencies Tumble Amid Mixed Fed Messages,(Barrons.com),http://blogs.barrons.com/asiastocks/2016/08/21/asian-currencies-tumble-amid-mixed-fed-messages/?mod=yahoobarrons&ru=yahoo
Aug-18-16,09:06AM,New Zealand Employment Reports Should Be Viewed with Caution,,http://marketrealist.com/2016/08/strong-new-zealand-employment-reports-viewed-caution/?utm_source=yahoo&utm_medium=feed
Aug-18-16,08:56AM,Australian Unemployment Fell: Is More Easing Needed?,,http://marketrealist.com/2016/08/strong-employment-release-australia-unemployment-drops-5-7/?utm_source=yahoo&utm_medium=feed
Aug-17-16,03:32PM,Reserve Bank of Australia Cuts Rate Again: ETFs to Watch,,http://finance.yahoo.com/news/bank-australia-cuts-rate-again-193207566.html
Aug-17-16,08:12AM,"RBA Minutes Exhibit Dovish Bias, Wholesale Prices Rise in India",,http://marketrealist.com/2016/08/rba-minutes-exhibit-dovish-bias-indian-wpi-continues-rise/?utm_source=yahoo&utm_medium=feed
Aug-17-16,03:04AM,"Why The Aussie, Kiwi Will Stay Stronger For Longer",(Barrons.com),http://blogs.barrons.com/asiastocks/2016/08/17/why-aussie-kiwi-will-stay-stronger-for-longer/?mod=yahoobarrons&ru=yahoo
